fips,votes,"Percent of adults with less than a high school diploma, 2011-2015","Percent of adults with a high school diploma only, 2011-2015","Percent of adults completing some college or associate's degree, 2011-2015","Percent of adults with a bachelor's degree or higher, 2011-2015",Unemployment_rate_2015,POP_ESTIMATE_2015,Amish,Buddhist,Catholic,Christian Generic,Eastern Orthodox,Hindu,Jewish,Mainline Christian,Mormon,Muslim,Non-Catholic Christian,Other,Other Christian,Other Misc,Pentecostal / Charismatic,Protestant Denomination,Zoroastrian,MedHHInc2014,PerCapitaInc,PovertyUnder18Pct2014,PovertyAllAgesPct2014,Deep_Pov_All,Deep_Pov_Children,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units,age_total_pop,0-4_rate,5-9_rate,10-14_rate,15-19_rate,20-24_rate,25-29_rate,30-34_rate,35-39_rate,40-44_rate,45-49_rate,50-54_rate,55-59_rate,60-64_rate,65-69_rate,70-74_rate,75-79_rate,80-84_rate,85+_rate,TOT_MALE_rate,TOT_FEMALE_rate,WHITE_MALE_rate,WHITE_FEMALE_rate,BLACK_MALE_rate,BLACK_FEMALE_rate,NATIVE_AMERICAN_MALE_rate,NATIVE_AMERICAN_FEMALE_rate,ASIAN_MALE_rate,ASIAN_FEMALE_rate,HAWAIIAN_PACIFIC_MALE_rate,HAWAIIAN_PACIFIC_FEMALE_rate,MULTI_MALE_rate,MULTI_FEMALE_rate,WHITE_rate,BLACK_rate,NATIVE_AMERICAN_rate,HAWAIIAN_PACIFIC_rate,MULTI_rate,voter_turnout_rate,Democrat
2013,7471,18.3,39.4,28.2,14,3.2,3341,0,0,190,42,0,0,0,0,0,0,42,2,0,193,0,0,0,55462,27122,15.6,16.2,4.933008526,2.459016393,3141,747,15009.86,8027.92,6981.94,0.4,0.1,1143123.501,0.060750213,0.062571678,0.062571678,0.06447675,0.069363595,0.068451447,0.066075281,0.062176082,0.061737083,0.063702225,0.068223293,0.066614497,0.058251893,0,0.035105629,0.024843318,0.017737832,0.019228004,0.483099789,0.49832627,0.375296042,0.382213676,0.062078711,0.067585903,0.006031419,0.00592211,0.026151723,0,0.001168006,0.001130534,0.012373888,0,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,2.236156839,0
2016,7471,16,37,32.2,14.7,3.8,5702,0,0,202,56,0,0,0,14,19,0,0,20,0,177,1,0,0,68387,32700,9.7,9.9,4.287817446,4.505494505,5561,1929,14116.44,9726.16,4390.28,1.3,0.4,1143123.501,0.060750213,0.062571678,0.062571678,0.06447675,0.069363595,0.068451447,0.066075281,0.062176082,0.061737083,0.063702225,0.068223293,0.066614497,0.058251893,0,0.035105629,0.024843318,0.017737832,0.019228004,0.483099789,0.49832627,0.375296042,0.382213676,0.062078711,0.067585903,0.006031419,0.00592211,0.026151723,0,0.001168006,0.001130534,0.012373888,0,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,1.31024202,0
2020,7471,7,24.1,35.6,33.2,5,298695,0,13,165,200,0,0,1,47,47,3,38,69,16,68,22,6,0,75200,36508,14.2,10,3.903225031,4.874348923,291826,113032,1961,256.32,1704.68,171.2,66.3,1143123.501,0.060750213,0.062571678,0.062571678,0.06447675,0.069363595,0.068451447,0.066075281,0.062176082,0.061737083,0.063702225,0.068223293,0.066614497,0.058251893,0,0.035105629,0.024843318,0.017737832,0.019228004,0.483099789,0.49832627,0.375296042,0.382213676,0.062078711,0.067585903,0.006031419,0.00592211,0.026151723,0,0.001168006,0.001130534,0.012373888,0,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,0.025012136,0
2050,7471,21,43.6,23.7,11.6,14.4,17946,0,0,549,167,0,0,0,2,10,0,0,11,0,306,11,1,0,45808,18875,31.7,23.8,8.64484623,10.32977692,17013,5919,45504.21,4934.2,40570,0.4,0.1,1143123.501,0.060750213,0.062571678,0.062571678,0.06447675,0.069363595,0.068451447,0.066075281,0.062176082,0.061737083,0.063702225,0.068223293,0.066614497,0.058251893,0,0.035105629,0.024843318,0.017737832,0.019228004,0.483099789,0.49832627,0.375296042,0.382213676,0.062078711,0.067585903,0.006031419,0.00592211,0.026151723,0,0.001168006,0.001130534,0.012373888,0,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,0.416304469,0
2060,7471,8,30.7,41.3,20,9.2,892,0,0,347,6,0,0,0,0,0,0,6,1,0,227,0,0,0,75364,37012,12.2,9.5,4.868154158,3.816793893,997,969,887.56,383.72,503.84,2,1.9,1143123.501,0.060750213,0.062571678,0.062571678,0.06447675,0.069363595,0.068451447,0.066075281,0.062176082,0.061737083,0.063702225,0.068223293,0.066614497,0.058251893,0,0.035105629,0.024843318,0.017737832,0.019228004,0.483099789,0.49832627,0.375296042,0.382213676,0.062078711,0.067585903,0.006031419,0.00592211,0.026151723,0,0.001168006,0.001130534,0.012373888,0,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,8.375560538,0
2068,7471,4.8,23.9,38,33.3,8.7,1919,0,0,122,169,0,0,0,0,44,0,52,47,0,101,18,0,0,69692,36828,8.9,7.1,7.211296016,0.934579439,1826,1771,12776.92,25.51,12751.41,0.1,0.1,1143123.501,0.060750213,0.062571678,0.062571678,0.06447675,0.069363595,0.068451447,0.066075281,0.062176082,0.061737083,0.063702225,0.068223293,0.066614497,0.058251893,0,0.035105629,0.024843318,0.017737832,0.019228004,0.483099789,0.49832627,0.375296042,0.382213676,0.062078711,0.067585903,0.006031419,0.00592211,0.026151723,0,0.001168006,0.001130534,0.012373888,0,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,3.893173528,0
2070,7471,13.5,38.1,32.2,16.2,9.7,4997,0,0,442,181,0,0,0,17,9,0,16,11,0,281,21,50,0,51082,21774,25,17.5,6.074766355,7.577639752,4847,2427,20915.21,2346.43,18568.78,0.3,0.1,1143123.501,0.060750213,0.062571678,0.062571678,0.06447675,0.069363595,0.068451447,0.066075281,0.062176082,0.061737083,0.063702225,0.068223293,0.066614497,0.058251893,0,0.035105629,0.024843318,0.017737832,0.019228004,0.483099789,0.49832627,0.375296042,0.382213676,0.062078711,0.067585903,0.006031419,0.00592211,0.026151723,0,0.001168006,0.001130534,0.012373888,0,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,1.495097058,0
2090,7471,5.6,23.4,39.2,31.7,5.4,99631,0,2,87,190,0,0,1,53,46,0,41,54,4,68,18,4,0,67801,32906,10.6,9.5,3.668560884,5.001658925,97581,41783,7443.69,105.48,7338.21,13.3,5.7,1143123.501,0.060750213,0.062571678,0.062571678,0.06447675,0.069363595,0.068451447,0.066075281,0.062176082,0.061737083,0.063702225,0.068223293,0.066614497,0.058251893,0,0.035105629,0.024843318,0.017737832,0.019228004,0.483099789,0.49832627,0.375296042,0.382213676,0.062078711,0.067585903,0.006031419,0.00592211,0.026151723,0,0.001168006,0.001130534,0.012373888,0,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,0.074986701,0
2100,7471,4.6,27.7,32.1,35.6,9.7,2534,0,41,147,196,0,0,0,59,32,0,32,79,0,85,24,0,0,67260,32312,15.4,9.8,2.662957075,0.431034483,2508,1631,2725.5,406.9,2318.6,1.1,0.7,1143123.501,0.060750213,0.062571678,0.062571678,0.06447675,0.069363595,0.068451447,0.066075281,0.062176082,0.061737083,0.063702225,0.068223293,0.066614497,0.058251893,0,0.035105629,0.024843318,0.017737832,0.019228004,0.483099789,0.49832627,0.375296042,0.382213676,0.062078711,0.067585903,0.006031419,0.00592211,0.026151723,0,0.001168006,0.001130534,0.012373888,0,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,2.948303078,0
2105,7471,9.6,31.3,32.4,26.6,15,2133,0,0,209,101,0,0,0,9,36,0,0,41,0,137,53,0,0,51687,30811,31,19.1,6.046291923,11.73333333,2150,1771,10914.15,3389.24,7524.91,0.3,0.2,1143123.501,0.060750213,0.062571678,0.062571678,0.06447675,0.069363595,0.068451447,0.066075281,0.062176082,0.061737083,0.063702225,0.068223293,0.066614497,0.058251893,0,0.035105629,0.024843318,0.017737832,0.019228004,0.483099789,0.49832627,0.375296042,0.382213676,0.062078711,0.067585903,0.006031419,0.00592211,0.026151723,0,0.001168006,0.001130534,0.012373888,0,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,3.502578528,0
