algorithm_solution, matrix_size, ap_clk_estimated, latency_max, BRAM_18K, CSP48E, FF, LUT, URAM,
matrix_mult_0, 8, 8.510, 2564, 3, 3, 379, 732, 0,
matrix_mult_0, 16, 8.510, 18308, 3, 3, 402, 748, 0,
matrix_mult_0, 32, 8.510, 138500, 6, 3, 425, 736, 0,
matrix_mult_0, 64, 8.510, 1077764, 24, 3, 448, 778, 0,
matrix_mult_0, 128, 8.510, 8504324, 96, 3, 471, 820, 0,
matrix_mult_0, 256, 8.510, 67569668, 384, 3, 494, 936, 0,
matrix_mult_1, 8, 8.510, 716, 3, 3, 652, 1157, 0,
matrix_mult_1, 16, 8.510, 4876, 3, 3, 680, 1197, 0,
matrix_mult_1, 32, 8.510, 35852, 6, 3, 706, 1200, 0,
matrix_mult_1, 64, 8.510, 274444, 24, 3, 733, 1276, 0,
matrix_mult_1, 128, 8.510, 2146316, 96, 3, 760, 1341, 0,
matrix_mult_1, 256, , , , , , , ,
matrix_mult_2, 8, 8.510, 268, 1, 24, 2317, 1535, 0,
matrix_mult_2, 16, 8.742, 1037, 1, 48, 4171, 2433, 0,
matrix_mult_2, 32, 8.742, 4109, 66, 96, 3872, 3527, 0,
matrix_mult_2, 64, 8.742, 16398, 136, 192, 7396, 6259, 0,
matrix_mult_2, 128, 8.742, 65550, 288, 384, 14123, 11701, 0,
matrix_mult_2, 256, , , , , , , ,
matrix_mult_3, 8, 8.510, 266, 1, 24, 2274, 1552, 0,
matrix_mult_3, 16, 8.742, 1035, 1, 48, 4134, 2440, 0,
matrix_mult_3, 32, 8.742, 4107, 66, 96, 3841, 3546, 0,
matrix_mult_3, 64, 8.742, 16396, 136, 192, 7371, 6254, ,
matrix_mult_3, 128, 8.742, 65548, 288, 384, 14104, 11708, ,
matrix_mult_3, 256, , , , , , , ,
