algorithm,optimization,matrix_size,matrix_datatype,ap_clk_estimated,latency_max,BRAM_18K,CSP48E,FF,LUT
0,0,8,int,8.51,2564,3,3,379,732
0,0,16,int,8.51,18308,3,3,402,748
0,0,32,int,8.51,138500,6,3,425,736
0,0,64,int,8.51,1077764,24,3,448,778
0,0,128,int,8.51,8504324,96,3,471,820
0,0,256,int,8.51,67569668,384,3,494,836
0,1,8,int,8.51,716,3,3,652,1157
0,1,16,int,8.51,4876,3,3,680,1197
0,1,32,int,8.51,35852,6,3,706,1200
0,1,64,int,8.51,274444,24,3,733,1276
0,1,128,int,8.51,2146316,96,3,760,1341
0,1,256,int,8.51,16973836,384,3,787,1405
0,2,8,int,8.51,268,1,24,2317,1535
0,2,16,int,8.742,1037,1,48,4171,2433
0,2,32,int,8.742,4109,66,96,3872,3527
0,2,64,int,8.742,16398,136,192,7396,6259
0,2,128,int,8.742,65550,288,384,14123,11701
0,2,256,int,8.742,262159,640,768,27763,22541
0,3,8,int,8.51,266,1,24,2274,1552
0,3,16,int,8.742,1035,1,48,4134,2440
0,3,32,int,8.742,4107,66,96,3841,3546
0,3,64,int,8.742,16396,136,192,7371,6254
0,3,128,int,8.742,65548,288,384,14104,11708
0,3,256,int,8.742,262157,640,768,27750,22530
