datetime,duration_execution,method,environment,step,goal_sample_rate,corner_sample_rate,max_iterations,iterations,path_length
2024-12-22-13-10-09,0.042873382568359375,RRT,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.12081122398376465,RRT*,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.037810325622558594,RRT,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.08577227592468262,RRT*,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.06403303146362305,RRT,env,1,0.1,0.0,375,243,63.90184851402827
2024-12-22-13-10-09,0.09639692306518555,RRT*,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.0407102108001709,RRT,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.09792590141296387,RRT*,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.06424808502197266,RRT,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.10118818283081055,RRT*,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.03916645050048828,RRT,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.07699704170227051,RRT*,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-09,0.04184913635253906,RRT,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-10,0.18526577949523926,RRT*,env,1,0.1,0.0,375,288,63.781648063101386
2024-12-22-13-10-10,0.05693411827087402,RRT,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-10,0.0928802490234375,RRT*,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-10,0.040125370025634766,RRT,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-10,0.09461307525634766,RRT*,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-10,0.055875301361083984,RRT,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-10,0.07274818420410156,RRT*,env,1,0.1,0.0,375,375,0.0
2024-12-22-13-10-10,0.09849119186401367,RRT,env,1,0.1,0.0,750,750,0.0
2024-12-22-13-10-10,0.2798764705657959,RRT*,env,1,0.1,0.0,750,750,0.0
2024-12-22-13-10-11,0.1266617774963379,RRT,env,1,0.1,0.0,750,735,72.65091327851789
2024-12-22-13-10-11,0.21369338035583496,RRT*,env,1,0.1,0.0,750,750,0.0
2024-12-22-13-10-11,0.08992147445678711,RRT,env,1,0.1,0.0,750,750,0.0
2024-12-22-13-10-11,0.15848016738891602,RRT*,env,1,0.1,0.0,750,750,0.0
2024-12-22-13-10-11,0.1616818904876709,RRT,env,1,0.1,0.0,750,750,0.0
2024-12-22-13-10-13,1.6374897956848145,RRT*,env,1,0.1,0.0,750,300,66.17261588334867
2024-12-22-13-10-13,0.1264345645904541,RRT,env,1,0.1,0.0,750,750,0.0
2024-12-22-13-10-13,0.22550272941589355,RRT*,env,1,0.1,0.0,750,750,0.0
2024-12-22-13-10-13,0.14609694480895996,RRT,env,1,0.1,0.0,750,278,62.329644862862786
2024-12-22-13-10-14,0.4590945243835449,RRT*,env,1,0.1,0.0,750,575,63.79190261586505
2024-12-22-13-10-14,0.10371756553649902,RRT,env,1,0.1,0.0,750,750,0.0
2024-12-22-13-10-15,0.981738805770874,RRT*,env,1,0.1,0.0,750,340,68.32803254564512
2024-12-22-13-10-15,0.13637518882751465,RRT,env,1,0.1,0.0,750,505,69.55319423299987
2024-12-22-13-10-15,0.20889592170715332,RRT*,env,1,0.1,0.0,750,750,0.0
2024-12-22-13-10-15,0.12121224403381348,RRT,env,1,0.1,0.0,750,401,66.43047625332987
2024-12-22-13-10-16,0.25600290298461914,RRT*,env,1,0.1,0.0,750,721,73.82266644393671
2024-12-22-13-10-16,0.1177663803100586,RRT,env,1,0.1,0.0,750,625,63.48168124838407
2024-12-22-13-10-17,1.1824066638946533,RRT*,env,1,0.1,0.0,750,351,70.14242114670975
2024-12-22-13-10-17,0.3160974979400635,RRT,env,1,0.1,0.0,1500,898,72.56289962882822
2024-12-22-13-10-19,1.5815529823303223,RRT*,env,1,0.1,0.0,1500,1043,78.49611083104524
2024-12-22-13-10-19,0.3221168518066406,RRT,env,1,0.1,0.0,1500,541,71.28739963283932
2024-12-22-13-10-22,2.4557604789733887,RRT*,env,1,0.1,0.0,1500,859,68.44816415436614
2024-12-22-13-10-22,0.3148460388183594,RRT,env,1,0.1,0.0,1500,649,72.58047656906136
2024-12-22-13-10-25,3.3245255947113037,RRT*,env,1,0.1,0.0,1500,837,72.62428679447432
2024-12-22-13-10-26,0.3284595012664795,RRT,env,1,0.1,0.0,1500,394,65.1925255876065
2024-12-22-13-10-30,4.983954429626465,RRT*,env,1,0.1,0.0,1500,538,63.634863866832625
2024-12-22-13-10-31,0.3409860134124756,RRT,env,1,0.1,0.0,1500,430,70.88120928415212
2024-12-22-13-10-31,0.5527925491333008,RRT*,env,1,0.1,0.0,1500,1500,0.0
2024-12-22-13-10-32,0.21965503692626953,RRT,env,1,0.1,0.0,1500,1318,83.50725532610423
2024-12-22-13-10-35,2.964421272277832,RRT*,env,1,0.1,0.0,1500,835,75.11388230843971
2024-12-22-13-10-35,0.32710695266723633,RRT,env,1,0.1,0.0,1500,513,65.78934931030973
2024-12-22-13-10-41,6.369763135910034,RRT*,env,1,0.1,0.0,1500,332,63.464754944034645
2024-12-22-13-10-41,0.23043489456176758,RRT,env,1,0.1,0.0,1500,1500,0.0
2024-12-22-13-10-43,1.0579829216003418,RRT*,env,1,0.1,0.0,1500,1228,71.51507338910663
2024-12-22-13-10-43,0.29147768020629883,RRT,env,1,0.1,0.0,1500,760,74.19108526337757
2024-12-22-13-10-47,4.295237064361572,RRT*,env,1,0.1,0.0,1500,479,69.89815347561179
2024-12-22-13-10-47,0.317474365234375,RRT,env,1,0.1,0.0,1500,234,64.43070904439503
2024-12-22-13-10-50,2.7828476428985596,RRT*,env,1,0.1,0.0,1500,905,77.58127377168425
2024-12-22-13-10-51,0.5245490074157715,RRT,env,1,0.1,0.0,2250,1064,78.31446747009055
2024-12-22-13-11-04,12.798936605453491,RRT*,env,1,0.1,0.0,2250,638,62.71273783821279
2024-12-22-13-11-04,0.570422887802124,RRT,env,1,0.1,0.0,2250,532,67.07149238780009
2024-12-22-13-11-10,5.676803350448608,RRT*,env,1,0.1,0.0,2250,1210,72.39444820554043
2024-12-22-13-11-10,0.543248176574707,RRT,env,1,0.1,0.0,2250,1209,74.05974210655711
2024-12-22-13-11-16,5.439297199249268,RRT*,env,1,0.1,0.0,2250,1310,69.07956200450283
2024-12-22-13-11-16,0.4799623489379883,RRT,env,1,0.1,0.0,2250,2068,82.22372806135124
2024-12-22-13-11-29,12.808899164199829,RRT*,env,1,0.1,0.0,2250,618,66.47708197247896
2024-12-22-13-11-30,0.5763893127441406,RRT,env,1,0.1,0.0,2250,720,68.45508623702842
2024-12-22-13-11-49,19.684110164642334,RRT*,env,1,0.1,0.0,2250,304,63.49482679770853
2024-12-22-13-11-50,0.5501918792724609,RRT,env,1,0.1,0.0,2250,569,70.68816076823794
2024-12-22-13-11-59,8.697733879089355,RRT*,env,1,0.1,0.0,2250,928,67.55334664372181
2024-12-22-13-11-59,0.5728607177734375,RRT,env,1,0.1,0.0,2250,700,69.18679383986809
2024-12-22-13-12-06,6.505819320678711,RRT*,env,1,0.1,0.0,2250,1040,69.69089112197419
2024-12-22-13-12-06,0.5728681087493896,RRT,env,1,0.1,0.0,2250,386,72.12991334472045
2024-12-22-13-12-18,12.067200899124146,RRT*,env,1,0.1,0.0,2250,608,71.11170933999801
2024-12-22-13-12-19,0.49297094345092773,RRT,env,1,0.1,0.0,2250,940,70.48502123725818
2024-12-22-13-12-24,5.4083826541900635,RRT*,env,1,0.1,0.0,2250,1264,81.29162003369822
2024-12-22-13-12-25,0.48851823806762695,RRT,env,1,0.1,0.0,2250,862,78.7696577641762
2024-12-22-13-12-30,5.529752254486084,RRT*,env,1,0.1,0.0,2250,1285,70.05860451167815
2024-12-22-13-12-31,0.7930772304534912,RRT,env,1,0.1,0.0,3000,1449,75.40313417297611
2024-12-22-13-13-06,34.89356064796448,RRT*,env,1,0.1,0.0,3000,304,62.72756620510633
2024-12-22-13-13-07,0.8428270816802979,RRT,env,1,0.1,0.0,3000,596,67.18318818753472
