alpha_maximum,K_rho,K_alpha,K_beta,mean_performance
0.7854,5,5,5,8063.4762
0.7854,5,5,15,8003.3333
0.7854,5,5,25,8007.381
0.7854,5,15,5,4371.8571
0.7854,5,15,15,4165.1905
0.7854,5,15,25,3796
0.7854,5,25,5,7065.4762
0.7854,5,25,15,6744.1429
0.7854,5,25,25,6739.4762
0.7854,15,5,5,2692.381
0.7854,15,5,15,1952.2857
0.7854,15,5,25,1936.1429
0.7854,15,15,5,4174.8571
0.7854,15,15,15,4711.4286
0.7854,15,15,25,4704.0476
0.7854,15,25,5,7703.381
0.7854,15,25,15,7098.1905
0.7854,15,25,25,7094.2381
0.7854,25,5,5,8356.7619
0.7854,25,5,15,8227.4286
0.7854,25,5,25,8547.0952
0.7854,25,15,5,8963.8095
0.7854,25,15,15,8894.6667
0.7854,25,15,25,8894.0952
0.7854,25,25,5,8664.1429
0.7854,25,25,15,8230.2857
0.7854,25,25,25,7594.7143
1.5708,5,5,5,6588.0952
1.5708,5,5,15,7616.1905
1.5708,5,5,25,8011.9048
1.5708,5,15,5,7148.2381
1.5708,5,15,15,6487.9524
1.5708,5,15,25,6460.619
1.5708,5,25,5,10000
1.5708,5,25,15,10000
1.5708,5,25,25,10000
1.5708,15,5,5,8020.381
1.5708,15,5,15,7091.9524
1.5708,15,5,25,7087.3333
1.5708,15,15,5,10000
1.5708,15,15,15,10000
1.5708,15,15,25,10000
1.5708,15,25,5,10000
1.5708,15,25,15,10000
1.5708,15,25,25,10000
1.5708,25,5,5,9574.0952
1.5708,25,5,15,9574.0952
1.5708,25,5,25,9574.0952
1.5708,25,15,5,10000
1.5708,25,15,15,10000
1.5708,25,15,25,10000
1.5708,25,25,5,10000
1.5708,25,25,15,10000
1.5708,25,25,25,10000
2.3562,5,5,5,6587.8571
2.3562,5,5,15,7616.1905
2.3562,5,5,25,8011.9048
2.3562,5,15,5,7388.4762
2.3562,5,15,15,6445.3333
2.3562,5,15,25,6844
2.3562,5,25,5,9092.2857
2.3562,5,25,15,8367.2381
2.3562,5,25,25,8645.8095
2.3562,15,5,5,7363.0476
2.3562,15,5,15,6771.9048
2.3562,15,5,25,6767.0952
2.3562,15,15,5,7254.4286
2.3562,15,15,15,7578.1905
2.3562,15,15,25,6922.2857
2.3562,15,25,5,10000
2.3562,15,25,15,10000
2.3562,15,25,25,10000
2.3562,25,5,5,9574.0952
2.3562,25,5,15,9574.0952
2.3562,25,5,25,9574.0952
2.3562,25,15,5,9574.0952
2.3562,25,15,15,9574.0952
2.3562,25,15,25,9574.0952
2.3562,25,25,5,10000
2.3562,25,25,15,10000
2.3562,25,25,25,10000
